scenario_id,annual_load_kwh,peak_load_kw,mean_load_kw,std_load_kw,load_factor,peak_to_average_ratio,daytime_load_share,nighttime_load_share,seasonal_load_variability,monthly_max_load_kwh,monthly_min_load_kwh,pv_capacity_kwp,wind_capacity_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,pv_capacity_factor,wind_capacity_factor,renewable_to_load_ratio,monthly_renewable_variability,daily_renewable_variability,max_positive_net_load_kw,mean_positive_net_load_kw,std_net_load_kw,total_deficit_energy_kwh,total_surplus_energy_kwh,max_consecutive_deficit_hours,max_cumulative_deficit_event_kwh,n_deficit_hours,n_surplus_hours,net_load_q10_kw,net_load_q50_kw,net_load_q90_kw,worst_monthly_renewable_to_load_ratio,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,optimal_capacity_kwh
37,14066.87611614864,3.5296440707194807,1.6058077758160547,0.6452706610186302,0.4549489250593836,2.1980489345468217,0.6017941346657719,0.3982058653342281,0.11316798090188229,1341.16898741297,1001.7776062102971,21.20842415378715,15.475058974352743,27246.109515141594,11642.537777409943,38888.64729255154,0.14665335112961864,0.0858837970251311,2.764554615499012,0.1738498356789597,0.4691635187972447,3.419741794237461,1.250557173491499,5.538559611211398,5131.03608283562,29952.807259238518,36,45.395438745037495,4103,4657,-11.427001649981348,-0.3241629557081172,2.0045806077762367,2.2575689612678396,0.990467656798186,0.9632357682116256,0.7198226283159751,61.44
42,18096.183725028735,4.585974859968388,2.0657743978343306,0.8301942455050917,0.4504548020676612,2.2199785536969223,0.6013357422013343,0.39866425779866577,0.11232201210947657,1727.1781291669063,1294.2813114353069,18.644668425473853,19.697863246205817,23952.49520239586,14819.53105046555,38772.02625286141,0.14665335112961866,0.0858837970251311,2.1425526421483014,0.21420074278454238,0.5459883077005451,4.505688967394243,1.5907122428934606,5.514699188610459,6895.7375729431515,27571.580100775827,37,64.92272340055739,4335,4425,-10.244058032263807,-0.08078273814144149,2.6292234145800886,1.6840227830582355,0.997746471614933,0.8918892553571389,0.8228759481083839,184.32
43,13379.728752940811,3.4398701069412834,1.5273662959978096,0.6144427670332855,0.44401859620098755,2.2521579243661773,0.6018421193195711,0.398157880680429,0.11361116797377735,1278.8849759213429,952.9713680402554,12.852872446898038,19.51431256542854,16511.871307977257,14681.438152819059,31193.309460796314,0.14665335112961866,0.08588379702513112,2.331385787917423,0.25949033684358064,0.6410279848581235,3.3949378283846845,1.1718416860624972,4.5010996711975,4833.846955007801,22647.427662863305,32,48.23852705100801,4125,4635,-7.866309822031688,-0.2373742129181367,1.8846049290864644,1.664687870431405,0.9912366713703402,0.9662992221318172,0.8601768352170194,61.44
46,33983.73766090449,8.789269318799878,3.879422107409188,1.5636667343875708,0.44138164012237824,2.265613041182996,0.6013932988358912,0.3986067011641089,0.11163046863005771,3240.7416304075978,2426.3786791017183,33.977341495362,14.843064311508584,43650.1250966677,11167.0616096306,54817.18670629831,0.14665335112961866,0.08588379702513112,1.6130417216985817,0.13221954675839814,0.40419324070237556,8.76151239771196,3.021286956380753,8.085463435566298,15242.3926949409,36075.84174033471,43,143.74576592538597,5045,3715,-15.708676085828019,1.0638282935656869,5.231917781876698,1.2886397346400087,0.99107760229651,0.89053932093101,0.7175418023821536,291.84
48,22577.599208170515,5.858888507093742,2.5773515077820224,1.0390924390118372,0.43990451510750767,2.273220586871247,0.6014650529201592,0.3985349470798407,0.11321472008642113,2156.6319964511067,1607.380601126516,18.11604822730527,12.28384035544108,23273.385632218524,9241.64978155615,32515.035413774676,0.14665335112961864,0.08588379702513112,1.4401458327778245,0.1668046222804625,0.45688646474125577,5.6511746933302,1.9917310654213922,4.702490871657389,10098.07650168646,20035.512707290618,41,94.46389090773967,5070,3690,-8.407757525571945,0.7169009072693384,3.4454894548486448,1.1778198438920102,0.9913300503528796,0.964251471703817,0.7875808074397507,245.76
50,10492.107435544114,2.680050579218678,1.1977291593086887,0.4821604025087459,0.4469054310377477,2.2376098622877003,0.6014912185770163,0.3985087814229838,0.11321811360501437,1002.4871986499226,748.6543483432499,27.64773999907662,18.721927302108977,35518.59140493888,14085.293389962231,49603.88479490111,0.14665335112961866,0.08588379702513112,4.72773321276315,0.16667961071636067,0.45667244126934275,2.553191427122829,0.9293440584297092,7.072829188053061,3275.937805964725,42387.71516532172,19,21.609897801860903,3525,5235,-15.652488719860171,-1.0485648671322134,1.3955564165861805,3.865844242096703,0.9974285956007668,0.906582312280968,0.7917096163597102,30.72
52,14256.781274855315,3.749918681443923,1.6274864469012917,0.6542902747732078,0.4340057972336138,2.3041166877817685,0.6008028801373078,0.3991971198626923,0.11283905208196683,1363.8516033824378,1017.5136212317369,18.51725313592117,21.737931593218764,23788.806900620926,16354.360277156105,40143.16717777703,0.14665335112961866,0.08588379702513112,2.8157244194085753,0.22691778926732956,0.5719387816779687,3.709268176993864,1.2598341862643911,5.705278434887177,4934.770507597619,30821.156410519336,32,47.88467577931827,3917,4843,-10.913889842772958,-0.5661405655906626,1.9974994544931548,2.1591262880583817,0.9959911626249588,0.9385112514002916,0.7180881453968265,76.8
53,19633.12232164588,5.255447560622369,2.2412240093203057,0.9038743994019626,0.42645730615089456,2.344900616255751,0.6016195018035793,0.39838049819642063,0.11307362668662958,1878.6958735865476,1395.5138617396885,36.91100196689876,5.5799900640893885,47418.949876299404,4198.061230422552,51617.011106721955,0.14665335112961866,0.08588379702513112,2.6290780580434348,0.09760931839203785,0.3779592413720571,5.088827242179444,1.7909229045174029,8.051630693405267,8698.512547241025,40682.4013323171,43,77.86029105370515,4857,3903,-17.543295350403266,0.5891110122193691,3.036438151227695,1.98861026320585,0.99699091146623,0.8978383804491608,0.882127645426177,107.52
54,10217.193365148018,2.658404423820278,1.166346274560276,0.46975055154000295,0.43873921669306065,2.2792582973032793,0.601954559755908,0.398045440244092,0.11304708710997953,977.4145182040456,727.7204152325198,29.688071179824703,5.723254209893924,38139.77091336047,4305.84487327923,42445.615786639704,0.14665335112961866,0.0858837970251311,4.154332238775711,0.10095314875158927,0.377109765952487,2.6055661806002437,0.9227636243847588,6.532298474690883,3959.578712235,36188.001133726684,21,22.016359120789023,4291,4469,-14.903158509910993,-0.07430251968483992,1.5006026796142748,3.180090228378514,0.9954533265988296,0.9521333629773474,0.7477105641254777,30.72
56,14996.947172225719,3.771183199646107,1.7119802708020226,0.6888299080688675,0.4539636979085708,2.2028193104581724,0.6013423139068834,0.3986576860931167,0.11355768907997608,1433.9878280449063,1070.806933561086,11.204538986411992,9.035642214381108,14394.284746325267,6797.893694520932,21192.178440846197,0.14665335112961866,0.0858837970251311,1.4130994926816853,0.18400036808110004,0.4875334256565206,3.6474326371863226,1.323756977704084,3.049973925406316,6659.821354829247,12855.052623449728,41,63.27474080753334,5031,3729,-5.299235434258309,0.46143605677515764,2.2868019854427715,1.1413434690750064,0.9967066931549596,0.936701066011876,0.870226219952387,276.48
