scenario_id,location,timezone,weather_year,random_seed,pv_capacity_kwp,wind_capacity_kw,annual_load_kwh,peak_load_kw,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,feasible,optimal_n_modules,optimal_capacity_kwh,reference_lpsp,reference_system_lcoe_eur_per_kwh,reference_renewable_share,reference_annualized_cost,infeasibility_reason,mechanistic_optimization_runtime_seconds,annual_pv_kwh,annual_wind_kwh,annual_renewable_kwh
23,jinan,Asia/Shanghai,2023,4200149,1050.5996866409569,1964.0489231975464,3630371.405029996,1073.2849957584783,0.99572767507897,0.9315171834962772,0.7290260509330099,True,18,4500.0,0.0,0.3106695862689975,0.7207400219391551,174831.17620336646,,0.2842898070000501,1349687.9311366226,2600449.88340558,3950137.814542202
24,jinan,Asia/Shanghai,2023,4200150,2378.037442823171,849.1832020104576,3917517.9964158186,1023.5409729063311,0.9979776259805132,0.9628951477565671,0.8007265850366199,True,28,7000.0,0.0,0.2414161344047364,0.8583193237784128,271959.60742745886,,0.2951807659999304,3055025.1224911283,1124339.7924441427,4179364.9149352713
25,jinan,Asia/Shanghai,2023,4200151,2060.8253442217074,1639.7667393749057,2866588.6662442666,1129.251480462322,0.9944472748186568,0.8904271051901742,0.7144118294145887,True,22,5500.0,0.0,0.2682750382023013,0.9201152825376846,213682.5486930034,,0.2857807600000797,2647508.019129158,2171092.1636705734,4818600.182799731
26,jinan,Asia/Shanghai,2023,4200152,1663.525085490949,1353.599542255087,1256856.518371084,469.5105415323535,0.9947257947267052,0.8947376173832466,0.7331813735753067,True,9,2250.0,0.0,0.3391992857107769,0.9736436258431772,87415.58810168323,,0.3001698540001598,2137102.9894447937,1792199.6393574786,3929302.628802273
27,jinan,Asia/Shanghai,2023,4200153,3008.912871650714,1980.4394048304896,4146637.9685507766,1131.023217425799,0.9989128949789364,0.8927436299711897,0.7896491226508702,True,30,7500.0,0.0,0.2523843739543118,0.9192836289539188,291385.2936722774,,0.2863304469999548,3865500.2855492826,2622151.2909153057,6487651.576464588
28,jinan,Asia/Shanghai,2023,4200154,2094.2331230137333,388.9634886129271,3312328.285518165,1213.2045561792595,0.9956774901632828,0.8959755924193271,0.767771127121921,True,25,6250.0,0.0,0.2569404112631752,0.8161964830119759,242821.0780602312,,0.2848529220000273,2690426.436500712,514997.38456911023,3205423.8210698217
29,jinan,Asia/Shanghai,2023,4200155,1334.0663198024415,1465.4602382580067,4558979.797267094,1280.8962449196622,0.9955832193869224,0.922975528626496,0.8522865126368016,True,18,4500.0,0.0,0.3093331607262887,0.6453018946742559,174831.17620336646,,0.2827643330001592,1713852.796710906,1940305.9978309132,3654158.794541819
30,jinan,Asia/Shanghai,2023,4200156,1820.2660985821055,1195.586844340295,4666742.770256491,1268.3058725408478,0.9988612027328846,0.9059405420939116,0.8467506994875833,True,24,6000.0,0.0,0.293331600595876,0.7086162092212844,233108.23493782192,,0.2826540779999504,2338465.5601491947,1582986.8763677697,3921452.436516964
31,jinan,Asia/Shanghai,2023,4200157,1894.9203685809591,1960.2505623329123,3381352.811628517,1083.3662580879711,0.9907633734508065,0.9299915539123988,0.8604119573971448,True,22,5500.0,0.0,0.2592803814794751,0.8967907509813985,213682.5486930034,,0.286247486000093,2434372.6582632475,2595420.758646565,5029793.416909812
32,jinan,Asia/Shanghai,2023,4200158,3274.105001659666,1680.649563111377,1395944.8541662234,641.3374583720708,0.9904382862508246,0.8898354062003102,0.8350611257334968,True,8,2000.0,0.0,0.4076095328544007,0.9800805385357828,77702.74497927396,,0.2841699590001099,4206188.201086249,2225222.044532052,6431410.2456183005
