,pv_kw,wind_kw,renewable_kw,load_kw,direct_supply_kwh,battery_charge_kwh,battery_discharge_kwh,battery_losses_kwh,self_discharge_kwh,curtailed_kwh,unserved_kwh,load_served_kwh,soc_kwh,diesel_output_kwh,diesel_fuel_l,still_unserved_kwh
2023-04-27 17:00:00+08:00,197.1789279402111,533.1340308776565,730.3129588178676,655.4949822938389,655.4949822938389,0.2026826390413164,0.0,0.005132039041430503,0.1975505999998859,74.61529388498741,0.0,655.4949822938389,5700.0,0.0,0.0,0.0
2023-04-27 18:00:00+08:00,0.0,124.06761814826035,124.06761814826035,805.3432503541275,124.06761814826035,0.0,681.2756322058672,17.69841824048001,0.1975505999998859,0.0,0.0,805.3432503541276,5000.828398953653,0.0,0.0,0.0
2023-04-27 19:00:00+08:00,0.0,119.61023826135329,119.61023826135329,754.4131126069925,119.61023826135329,0.0,634.8028743456392,16.491132574418884,0.17331871065107407,0.0,0.0,754.4131126069925,4349.361073322943,0.0,0.0,0.0
2023-04-27 20:00:00+08:00,0.0,154.49342955605317,154.49342955605317,691.3563299283022,154.49342955605317,0.0,536.862900372249,13.946813447327372,0.15074015607933688,0.0,0.0,691.3563299283021,3798.400619347288,0.0,0.0,0.0
2023-04-27 21:00:00+08:00,0.0,212.56626227831487,212.56626227831487,623.4903791832149,212.56626227831487,0.0,410.9241169049001,10.675131389236526,0.13164496866556874,0.0,0.0,623.4903791832149,3376.669726084486,0.0,0.0,0.0
2023-04-27 22:00:00+08:00,0.0,328.54247919201214,328.54247919201214,522.7570950462126,328.54247919201214,0.0,194.21461585420047,5.045375670743368,0.11702861936691988,0.0,0.0,522.7570950462126,3177.292705940175,0.0,0.0,0.0
2023-04-27 23:00:00+08:00,0.0,395.06167548138285,395.06167548138285,290.25233263305984,290.25233263305984,104.80934284832301,0.0,2.6538318326051638,0.11011861060251249,0.0,0.0,290.25233263305984,3279.3380983452903,0.0,0.0,0.0
2023-04-28 00:00:00+08:00,0.0,275.8773057248641,275.8773057248641,260.46244896259674,260.46244896259674,15.414856762267334,0.0,0.39031289061658825,0.11365529981230793,0.0,0.0,260.46244896259674,3294.2489869171286,0.0,0.0,0.0
2023-04-28 01:00:00+08:00,0.0,232.66102582717113,232.66102582717113,201.4568120003537,201.4568120003537,31.204213826817437,0.0,0.7901083406740526,0.11417208138846036,0.0,0.0,201.4568120003537,3324.5489203218835,0.0,0.0,0.0
2023-04-28 02:00:00+08:00,0.0,160.3445471344749,160.3445471344749,197.1470762609963,160.3445471344749,0.0,36.80252912652139,0.9560690592729131,0.11522221648056075,0.0,0.0,197.1470762609963,3286.675099919609,0.0,0.0,0.0
2023-04-28 03:00:00+08:00,0.0,110.95654716766218,110.95654716766218,200.46602520969205,110.95654716766218,0.0,89.50947804202987,2.3253087355342217,0.11390958561287334,0.0,0.0,200.46602520969205,3194.7264035564317,0.0,0.0,0.0
2023-04-28 04:00:00+08:00,0.0,43.005604749689304,43.005604749689304,228.31590777871466,43.005604749689304,0.0,185.31030302902536,4.8140562970946235,0.11072282769464437,0.0,0.0,228.31590777871466,3004.491321402617,0.0,0.0,0.0
2023-04-28 05:00:00+08:00,0.0,20.38744711735356,20.38744711735356,318.83036752506007,20.38744711735356,0.0,298.44292040770654,7.753055263673048,0.10412966021704051,0.0,0.0,318.83036752506007,2698.1912160710203,0.0,0.0,0.0
2023-04-28 06:00:00+08:00,0.0,128.74851221099772,128.74851221099772,512.589918625926,128.74851221099772,0.0,383.84140641492826,9.971567200707739,0.09351391116661034,0.0,0.0,512.589918625926,2304.2847285442176,0.0,0.0,0.0
2023-04-28 07:00:00+08:00,91.5104678264532,345.9840271327849,437.49449495923807,673.0254337268078,437.49449495923807,0.0,235.53093876756975,6.118705654250817,0.07986190012206862,0.0,0.0,673.0254337268078,2062.555222222275,0.0,0.0,0.0
2023-04-28 08:00:00+08:00,149.83039649213984,366.0408776577079,515.8712741498477,667.7276358141796,515.8712741498477,0.0,151.85636166433187,3.9449780296865242,0.07148403889186739,0.0,0.0,667.7276358141796,1906.6823984893647,0.0,0.0,0.0
2023-04-28 09:00:00+08:00,216.6141180517428,234.32319043862088,450.93730849036365,612.9636448393178,450.93730849036365,0.0,162.02633634895415,4.209177212740741,0.06608179856698371,0.0,0.0,612.9636448393178,1740.3808031291028,0.0,0.0,0.0
2023-04-28 10:00:00+08:00,354.6190525161997,160.3445471344749,514.9635996506746,497.26228595484844,497.26228595484844,17.701313695826173,0.0,0.44820727320937337,0.0603181178748855,0.0,0.0,497.26228595484844,1757.5735914338447,0.0,0.0,0.0
2023-04-28 11:00:00+08:00,399.9747491559971,163.85521768152782,563.8299668375249,461.3908360035368,461.3908360035368,102.43913083398814,0.0,2.593816724002025,0.0609139855318972,0.0,0.0,461.3908360035368,1857.3579915582989,0.0,0.0,0.0
2023-04-28 12:00:00+08:00,536.5138503578083,152.1529825246845,688.6668328824928,411.8597487749923,411.8597487749923,276.80708410750054,0.0,7.008911909295989,0.0643723132714058,0.0,0.0,411.8597487749923,2127.091791443232,0.0,0.0,0.0
2023-04-28 13:00:00+08:00,548.5051117995897,148.6423119776315,697.1474237772212,447.0494833998817,447.0494833998817,250.0979403773395,0.0,6.33262128551732,0.07372074730801614,0.0,0.0,447.0494833998817,2370.7833897877463,0.0,0.0,0.0
2023-04-28 14:00:00+08:00,431.43580735153125,143.96141791489413,575.3972252664254,441.7523343522682,441.7523343522682,133.6448909141572,0.0,3.3839642166853707,0.08216661072310671,0.0,0.0,441.7523343522682,2500.962149874495,0.0,0.0,0.0
2023-04-28 15:00:00+08:00,332.9306623753867,121.72717111689168,454.65783349227837,412.0003198135093,412.0003198135093,42.65751367876908,0.0,1.0801123699853363,0.08667834619018322,0.0,0.0,412.0003198135093,2542.4528728370888,0.0,0.0,0.0
2023-04-28 16:00:00+08:00,201.8046797041673,91.72612251501502,293.5308022191823,498.0032101318596,293.5308022191823,0.0,204.47240791267728,5.311856204454784,0.08811633166669708,0.0,0.0,498.0032101318596,2332.58049238829,0.0,0.0,0.0
2023-04-28 17:00:00+08:00,95.77303892081663,39.40549036704257,135.1785292878592,617.8213797392232,135.1785292878592,0.0,482.642850451364,12.538265900407964,0.08084257470545708,0.0,0.0,617.8213797392232,1837.3185334618129,0.0,0.0,0.0
2023-04-28 18:00:00+08:00,0.0,13.172311046127856,13.172311046127856,853.4999114707957,13.172311046127856,0.0,840.3276004246678,21.830326270704745,0.06367778573280702,0.0,0.0,853.4999114707957,975.0969289807075,0.0,0.0,0.0
2023-04-28 19:00:00+08:00,0.0,31.60524253797469,31.60524253797469,898.1207886565661,31.60524253797469,0.0,365.5663234112891,9.496810660053825,0.03379490936458751,0.0,500.9492227073023,898.120788656566,600.0,500.9492227073023,245.35058953861534,0.0
2023-04-28 20:00:00+08:00,0.0,178.84593625948716,178.84593625948716,658.8607789389454,178.84593625948716,0.0,0.0,0.0,0.02079479999997602,0.0,480.0148426794582,658.8607789389454,600.0,480.0148426794582,240.2007320517657,0.0
2023-04-28 21:00:00+08:00,0.0,1391.2719651564703,1391.2719651564703,715.2591118055277,715.2591118055277,676.0128533509426,0.0,17.117027745028736,0.02079479999997602,0.0,0.0,715.2591118055277,1258.8750308059139,0.0,0.0,0.0
2023-04-28 22:00:00+08:00,0.0,1450.0,1450.0,449.64436810713926,449.64436810713926,1000.3556318928607,0.0,25.329570319747518,0.04363009081771452,0.0,0.0,449.64436810713926,2233.8574622882093,0.0,0.0,0.0
2023-04-28 23:00:00+08:00,0.0,1450.0,1450.0,348.76048911644045,348.76048911644045,1101.2395108835594,0.0,27.884007187552925,0.07742103192822469,0.0,0.0,348.76048911644045,3307.1355449522875,0.0,0.0,0.0
